,date,price,open,high,low,volume,change,value,address,mined
0,2010-09-25,0.1,0.1,0.1,0.1,2.15K,0.00%,2,656.0,4109450.0
1,2010-09-26,0.1,0.1,0.1,0.1,12.06K,0.00%,2,444.0,4110750.0
2,2010-09-27,0.1,0.1,0.1,0.1,10.75K,0.00%,2,1070.0,4132150.0
3,2010-09-28,0.1,0.1,0.1,0.1,7.09K,0.00%,2,1503.0,4133200.0
4,2010-09-29,0.1,0.1,0.1,0.1,23.48K,0.00%,2,1049.0,4148050.0
5,2010-09-30,0.1,0.1,0.1,0.1,7.92K,0.00%,2,492.0,4155850.0
6,2010-10-01,0.1,0.1,0.1,0.1,1.72K,0.00%,2,693.0,4155350.0
7,2010-10-02,0.1,0.1,0.1,0.1,13.06K,0.00%,2,680.0,4167350.0
8,2010-10-03,0.1,0.1,0.1,0.1,7.17K,0.00%,2,550.0,4175050.0
9,2010-10-04,0.1,0.1,0.1,0.1,34.00K,0.00%,2,690.0,4181200.0
10,2010-10-05,0.1,0.1,0.1,0.1,27.53K,0.00%,2,577.0,4177550.0
11,2010-10-06,0.1,0.1,0.1,0.1,33.43K,0.00%,2,522.0,4197450.0
12,2010-10-07,0.1,0.1,0.1,0.1,43.69K,0.00%,2,489.0,4205200.0
13,2010-10-08,0.1,0.1,0.1,0,139.29K,0.00%,2,665.0,4199650.0
14,2010-10-09,0.1,0.1,0.1,0.1,187.85K,0.00%,2,607.0,4221450.0
15,2010-10-10,0.1,0.1,0.1,0.1,50.68K,0.00%,2,457.0,4221750.0
16,2010-10-11,0.1,0.1,0.1,0.1,14.09K,0.00%,2,475.0,4237700.0
17,2010-10-12,0.1,0.1,0.1,0.1,25.66K,0.00%,2,494.0,4246150.0
18,2010-10-13,0.1,0.1,0.1,0.1,47.56K,0.00%,2,756.0,4244050.0
19,2010-10-14,0.1,0.1,0.1,0.1,37.22K,0.00%,2,439.0,4265000.0
20,2010-10-15,0.1,0.1,0.1,0.1,24.64K,0.00%,2,406.0,4266250.0
21,2010-10-16,0.1,0.1,0.1,0.1,6.29K,0.00%,2,703.0,4291050.0
22,2010-10-17,0.1,0.1,0.1,0.1,18.22K,0.00%,2,525.0,4288500.0
23,2010-10-18,0.1,0.1,0.1,0.1,25.67K,0.00%,2,731.0,4316250.0
24,2010-10-19,0.1,0.1,0.1,0.1,6.24K,0.00%,2,1162.0,4310950.0
25,2010-10-20,0.1,0.1,0.1,0.1,31.86K,0.00%,2,944.0,4339600.0
26,2010-10-21,0.1,0.1,0.1,0.1,44.87K,0.00%,2,817.0,4333450.0
27,2010-10-22,0.1,0.1,0.1,0.1,34.60K,0.00%,2,823.0,4355950.0
28,2010-10-23,0.1,0.1,0.1,0.1,4.42K,0.00%,2,669.0,4356050.0
29,2010-10-24,0.1,0.1,0.2,0.1,13.80K,0.00%,2,665.0,4375900.0
30,2010-10-25,0.1,0.1,0.2,0.1,30.30K,0.00%,2,563.0,4378150.0
31,2010-10-26,0.2,0.1,0.2,0.1,19.22K,0.00%,2,639.0,4398600.0
32,2010-10-27,0.2,0.2,0.2,0.2,65.61K,0.00%,2,914.0,4400500.0
33,2010-10-28,0.2,0.2,0.2,0.2,21.53K,0.00%,2,805.0,4421100.0
34,2010-10-29,0.2,0.2,0.2,0.2,28.69K,0.00%,2,654.0,4422750.0
35,2010-10-30,0.2,0.2,0.2,0.2,26.71K,0.00%,2,428.0,4442200.0
36,2010-10-31,0.2,0.2,0.2,0.2,40.34K,0.00%,2,403.0,4451600.0
37,2010-11-01,0.2,0.2,0.2,0.2,21.26K,0.00%,2,421.0,4445100.0
38,2010-11-02,0.2,0.2,0.2,0.2,5.85K,0.00%,2,288.0,4470050.0
39,2010-11-03,0.2,0.2,0.3,0.1,61.47K,0.00%,2,394.0,4467250.0
40,2010-11-04,0.2,0.2,0.2,0.2,29.70K,0.00%,2,423.0,4490550.0
41,2010-11-05,0.3,0.2,0.3,0.2,36.62K,0.00%,2,647.0,4489600.0
42,2010-11-06,0.4,0.3,0.5,0.2,32.76K,50.00%,2,414.0,4513050.0
43,2010-11-07,0.3,0.4,0.5,0.3,77.22K,0.00%,2,486.0,4511800.0
44,2010-11-08,0.2,0.3,0.4,0.2,118.20K,-28.53%,2,1363.0,4538100.0
45,2010-11-09,0.2,0.2,0.3,0.2,47.98K,0.00%,2,468.0,4533950.0
46,2010-11-10,0.2,0.2,0.2,0.1,30.39K,0.00%,2,469.0,4559350.0
