,date,price,open,high,low,volume,change,value
0,2022-10-25,"20,073.10","19,331.80","20,406.90","19,249.00",365.73K,3.84%,84909074
1,2022-10-24,"19,331.50","19,571.20","19,588.60","19,177.20",286.94K,-1.22%,84902680
2,2022-10-23,"19,571.20","19,204.80","19,680.90","19,092.50",180.63K,1.91%,84893809
3,2022-10-22,"19,204.80","19,162.60","19,249.90","19,116.10",118.24K,0.22%,84888147
4,2022-10-21,"19,162.60","19,042.90","19,245.50","18,703.30",294.66K,0.63%,84879615
5,2022-10-20,"19,042.90","19,125.10","19,334.50","18,935.60",253.20K,-0.42%,84873410
6,2022-10-19,"19,123.90","19,328.20","19,358.60","19,101.20",209.28K,-1.06%,84865792
7,2022-10-18,"19,328.20","19,548.40","19,692.90","19,102.80",290.07K,-1.13%,84855520
8,2022-10-17,"19,548.20","19,262.20","19,663.50","19,163.60",248.40K,1.49%,84848488
9,2022-10-16,"19,261.90","19,068.80","19,411.90","19,066.00",140.95K,1.01%,84835804
10,2022-10-15,"19,068.70","19,181.70","19,218.70","19,000.80",123.66K,-0.59%,84830177
11,2022-10-14,"19,181.80","19,379.80","19,933.90","19,098.60",400.45K,-1.02%,84821900
12,2022-10-13,"19,379.80","19,154.60","19,494.40","18,207.90",455.13K,1.17%,84815738
13,2022-10-12,"19,154.80","19,058.50","19,212.60","19,010.60",242.18K,0.50%,84794965
14,2022-10-11,"19,059.10","19,134.30","19,261.30","18,868.70",288.57K,-0.39%,84784364
15,2022-10-10,"19,134.60","19,441.70","19,520.70","19,057.00",243.77K,-1.58%,84778405
16,2022-10-09,"19,441.00","19,416.30","19,552.10","19,329.60",127.53K,0.13%,84771248
17,2022-10-08,"19,415.00","19,530.20","19,612.20","19,274.70",113.50K,-0.60%,84763812
18,2022-10-07,"19,531.30","19,962.40","20,051.40","19,352.10",263.50K,-2.13%,84758276
19,2022-10-06,"19,956.70","20,157.50","20,436.70","19,873.70",370.60K,-1.00%,84751135
20,2022-10-05,"20,157.50","20,340.50","20,353.80","19,761.70",352.76K,-0.90%,84742628
21,2022-10-04,"20,340.20","19,629.70","20,436.10","19,506.40",368.17K,3.63%,84736580
22,2022-10-03,"19,628.30","19,057.60","19,676.00","19,001.30",333.03K,3.02%,84729113
23,2022-10-02,"19,052.20","19,311.90","19,389.90","18,937.30",222.82K,-1.34%,84720680
24,2022-10-01,"19,311.90","19,422.90","19,480.30","19,172.60",173.91K,-0.57%,84715151
25,2022-09-30,"19,423.00","19,593.40","20,174.90","19,208.90",490.29K,-0.87%,84706860
26,2022-09-29,"19,593.00","19,420.20","19,631.50","18,877.90",449.57K,0.94%,84700886
27,2022-09-28,"19,411.00","19,083.40","19,757.80","18,505.30",581.19K,1.73%,84691746
28,2022-09-27,"19,081.00","19,228.80","20,361.20","18,850.40",660.12K,-0.75%,84684177
29,2022-09-26,"19,225.70","18,803.10","19,304.80","18,695.20",516.03K,2.25%,84677545
30,2022-09-25,"18,803.20","18,925.10","19,125.10","18,659.60",209.71K,-0.64%,84669011
31,2022-09-24,"18,925.20","19,288.40","19,310.60","18,812.00",258.50K,-1.91%,84663711
32,2022-09-23,"19,293.50","19,404.10","19,477.30","18,554.80",431.15K,-0.57%,84655736
33,2022-09-22,"19,404.00","18,488.10","19,490.90","18,371.00",448.63K,4.95%,84649845
34,2022-09-21,"18,489.00","18,875.10","19,758.40","18,191.80",446.85K,-2.03%,84641105
35,2022-09-20,"18,872.40","19,538.90","19,626.30","18,742.60",361.18K,-3.41%,84633460
36,2022-09-19,"19,538.90","19,417.40","19,666.60","18,277.80",423.43K,0.62%,84626839
37,2022-09-18,"19,418.80","20,113.90","20,113.90","19,347.70",273.11K,-3.45%,84618152
38,2022-09-17,"20,113.50","19,802.80","20,178.60","19,761.00",204.58K,1.57%,84612407
39,2022-09-16,"19,802.40","19,701.90","19,883.00","19,352.90",315.59K,0.51%,84603975
40,2022-09-15,"19,701.70","20,222.30","20,321.40","19,532.30",358.42K,-2.58%,84596341
41,2022-09-14,"20,222.50","20,175.50","20,503.70","19,654.20",374.22K,0.23%,84586559
42,2022-09-13,"20,175.50","22,395.30","22,702.50","19,909.60",485.32K,-9.91%,84579742
43,2022-09-12,"22,395.30","21,836.60","22,465.40","21,581.60",431.98K,2.57%,84564036
44,2022-09-11,"21,834.90","21,650.40","21,836.40","21,363.00",297.12K,0.85%,84534928
45,2022-09-10,"21,650.40","21,363.80","21,790.60","21,139.90",331.12K,1.33%,84518286
46,2022-09-09,"21,365.20","19,318.80","21,545.70","19,294.10",480.37K,10.60%,84503365
47,2022-09-08,"19,317.40","19,281.50","19,444.70","19,034.50",291.43K,0.19%,84491435
48,2022-09-07,"19,281.50","18,786.30","19,445.90","18,548.40",319.10K,2.64%,84479839
49,2022-09-06,"18,786.40","19,793.40","20,169.30","18,723.30",402.43K,-5.09%,84471638
50,2022-09-05,"19,793.10","19,999.90","20,042.90","19,650.70",238.71K,-1.03%,84450896
51,2022-09-04,"19,999.90","19,832.20","20,017.80","19,594.70",158.27K,0.85%,84409287
52,2022-09-03,"19,831.40","19,952.80","20,043.80","19,660.70",157.85K,-0.61%,84380369
53,2022-09-02,"19,952.70","20,131.60","20,428.20","19,764.70",272.22K,-0.86%,84355552
54,2022-09-01,"20,126.10","20,049.90","20,202.70","19,584.40",275.08K,0.41%,84312116
55,2022-08-31,"20,043.90","19,793.40","20,469.10","19,793.40",318.17K,1.27%,84268216
56,2022-08-30,"19,792.60","20,295.60","20,558.20","19,559.70",308.41K,-2.48%,84237465
57,2022-08-29,"20,295.80","19,551.30","20,394.50","19,551.20",248.04K,3.81%,84202442
58,2022-08-28,"19,550.20","20,034.20","20,150.80","19,542.90",159.60K,-2.41%,84155309
59,2022-08-27,"20,033.90","20,249.90","20,343.60","19,849.80",187.34K,-1.07%,84130807
60,2022-08-26,"20,249.90","21,564.20","21,815.30","20,122.40",322.16K,-6.10%,84096241
61,2022-08-25,"21,565.40","21,365.40","21,801.20","21,324.80",190.15K,0.94%,84089124
62,2022-08-24,"21,365.20","21,516.20","21,832.30","21,171.10",202.40K,-0.71%,84051954
63,2022-08-23,"21,517.20","21,416.50","21,661.00","20,919.60",228.65K,0.47%,84037026
64,2022-08-22,"21,416.30","21,516.80","21,517.40","20,912.10",251.83K,-0.47%,84015081
65,2022-08-21,"21,517.20","21,138.90","21,692.40","21,077.40",177.52K,1.79%,84000033
66,2022-08-20,"21,138.90","20,830.70","21,357.40","20,784.80",206.94K,1.48%,83983234
67,2022-08-19,"20,831.30","23,201.60","23,202.30","20,807.80",339.47K,-10.22%,83964773
68,2022-08-18,"23,203.60","23,337.70","23,578.00","23,131.30",160.97K,-0.58%,83950184
69,2022-08-17,"23,338.00","23,855.80","24,423.50","23,191.60",239.53K,-2.17%,83926624
70,2022-08-16,"23,856.80","24,102.60","24,240.80","23,693.80",201.70K,-1.02%,83900870
71,2022-08-15,"24,101.70","24,303.30","25,205.70","23,784.50",279.28K,-0.83%,83855672
72,2022-08-14,"24,302.80","24,442.10","24,997.30","24,172.20",177.25K,-0.57%,83811811
73,2022-08-13,"24,442.50","24,398.90","24,882.90","24,318.70",170.59K,0.18%,83774361
74,2022-08-12,"24,398.70","23,935.30","24,440.80","23,616.40",194.96K,1.94%,83735720
75,2022-08-11,"23,935.30","23,963.30","24,873.50","23,864.00",285.36K,-0.12%,83724674
76,2022-08-10,"23,962.90","23,150.30","24,209.90","22,714.70",243.61K,3.53%,83712378
77,2022-08-09,"23,146.70","23,818.10","23,912.00","22,886.50",169.62K,-2.81%,83552244
78,2022-08-08,"23,816.30","23,175.30","24,234.10","23,160.60",197.94K,2.77%,83552244
79,2022-08-07,"23,175.30","22,944.20","23,387.70","22,852.30",99.36K,1.01%,83552244
80,2022-08-06,"22,944.20","23,308.20","23,344.40","22,923.60",94.44K,-1.56%,83552244
81,2022-08-05,"23,308.20","22,613.30","23,447.60","22,593.50",208.90K,3.08%,83552244
82,2022-08-04,"22,612.10","22,822.20","23,214.50","22,438.70",181.19K,-0.91%,83552244
83,2022-08-03,"22,820.80","22,988.70","23,623.70","22,698.60",174.66K,-0.73%,83552244
