date,mined
2022-10-31,19194825.0
2022-10-30,19193700.0
2022-10-29,19193025.0
2022-10-28,19192125.0
2022-10-27,19191000.0
2022-10-26,19190131.25
2022-10-25,19189162.5
2022-10-24,19188556.25
2022-10-23,19187600.0
2022-10-22,19186618.75
2022-10-21,19185681.25
2022-10-20,19184781.25
2022-10-19,19183818.75
2022-10-18,19182906.25
2022-10-17,19182150.0
2022-10-16,19181225.0
2022-10-15,19180287.5
2022-10-14,19179312.5
2022-10-13,19178387.5
2022-10-12,19177387.5
2022-10-11,19176556.25
2022-10-10,19175668.75
2022-10-09,19174593.75
2022-10-08,19173531.25
2022-10-07,19172462.5
2022-10-06,19171325.0
2022-10-05,19170331.25
2022-10-04,19169393.75
2022-10-03,19168193.75
2022-10-02,19167312.5
2022-10-01,19166268.75
2022-09-30,19165231.25
2022-09-29,19164031.25
2022-09-28,19163318.75
2022-09-27,19162368.75
2022-09-26,19161487.5
2022-09-25,19160631.25
2022-09-24,19159581.25
2022-09-23,19158631.25
2022-09-22,19157893.75
2022-09-21,19157031.25
2022-09-20,19156131.25
2022-09-19,19155206.25
2022-09-18,19154393.75
2022-09-17,19153550.0
2022-09-16,19152318.75
2022-09-15,19151518.75
2022-09-14,19150743.75
2022-09-13,19150006.25
2022-09-12,19149093.75
2022-09-11,19148012.5
2022-09-10,19146900.0
2022-09-09,19146081.25
2022-09-08,19145087.5
2022-09-07,19144175.0
2022-09-06,19143250.0
2022-09-05,19142400.0
2022-09-04,19141543.75
2022-09-03,19140431.25
2022-09-02,19139487.5
2022-09-01,19138643.75
2022-08-31,19137843.75
2022-08-30,19136868.75
2022-08-29,19135937.5
2022-08-28,19135006.25
2022-08-27,19133918.75
2022-08-26,19133018.75
2022-08-25,19131950.0
2022-08-24,19130981.25
2022-08-23,19130100.0
2022-08-22,19128956.25
2022-08-21,19128043.75
2022-08-20,19127043.75
2022-08-19,19126312.5
2022-08-18,19125087.5
2022-08-17,19124287.5
2022-08-16,19123443.75
2022-08-15,19122443.75
2022-08-14,19121481.25
2022-08-13,19120637.5
2022-08-12,19119800.0
2022-08-11,19118793.75
2022-08-10,19118106.25
2022-08-09,19117081.25
2022-08-08,19116187.5
2022-08-07,19115243.75
2022-08-06,19114318.75
2022-08-05,19113293.75
2022-08-04,19112343.75
2022-08-03,19111581.25
2022-08-02,19110537.5
2022-08-01,19109762.5
2022-07-31,19108762.5
2022-07-30,19107912.5
2022-07-29,19107087.5
2022-07-28,19106193.75
2022-07-27,19105231.25
2022-07-26,19104243.75
2022-07-25,19103212.5
2022-07-24,19102437.5
2022-07-23,19101456.25
2022-07-22,19100393.75
2022-07-21,19099681.25
2022-07-20,19098718.75
2022-07-19,19097981.25
2022-07-18,19097137.5
2022-07-17,19096193.75
2022-07-16,19095500.0
2022-07-15,19094518.75
2022-07-14,19093681.25
2022-07-13,19092781.25
2022-07-12,19092112.5
2022-07-11,19091168.75
2022-07-10,19090593.75
2022-07-09,19089531.25
2022-07-08,19088675.0
2022-07-07,19087668.75
2022-07-06,19086893.75
2022-07-05,19085881.25
2022-07-04,19085287.5
2022-07-03,19084425.0
2022-07-02,19083431.25
2022-07-01,19082543.75
2022-06-30,19081718.75
2022-06-29,19080550.0
2022-06-28,19079756.25
2022-06-27,19078737.5
2022-06-26,19077918.75
2022-06-25,19077137.5
2022-06-24,19076125.0
2022-06-23,19075350.0
2022-06-22,19074300.0
2022-06-21,19073518.75
2022-06-20,19072600.0
2022-06-19,19071718.75
2022-06-18,19070868.75
2022-06-17,19069900.0
2022-06-16,19069243.75
2022-06-15,19068587.5
2022-06-14,19067506.25
2022-06-13,19066506.25
2022-06-12,19065687.5
2022-06-11,19064918.75
2022-06-10,19064100.0
2022-06-09,19063050.0
2022-06-08,19062231.25
2022-06-07,19061193.75
2022-06-06,19060100.0
2022-06-05,19059137.5
2022-06-04,19058131.25
2022-06-03,19057418.75
2022-06-02,19056381.25
2022-06-01,19055662.5
2022-05-31,19054843.75
2022-05-30,19053812.5
2022-05-29,19052893.75
2022-05-28,19052081.25
2022-05-27,19051193.75
