,ds,y
0,2010-09-25,2
1,2010-09-26,2
2,2010-09-27,2
3,2010-09-28,2
4,2010-09-29,2
5,2010-09-30,2
6,2010-10-01,2
7,2010-10-02,2
8,2010-10-03,2
9,2010-10-04,2
10,2010-10-05,2
11,2010-10-06,2
12,2010-10-07,2
13,2010-10-08,2
14,2010-10-09,2
15,2010-10-10,2
16,2010-10-11,2
17,2010-10-12,2
18,2010-10-13,2
19,2010-10-14,2
20,2010-10-15,2
21,2010-10-16,2
22,2010-10-17,2
23,2010-10-18,2
24,2010-10-19,2
25,2010-10-20,2
26,2010-10-21,2
27,2010-10-22,2
28,2010-10-23,2
29,2010-10-24,2
30,2010-10-25,2
31,2010-10-26,2
32,2010-10-27,2
33,2010-10-28,2
34,2010-10-29,2
35,2010-10-30,2
36,2010-10-31,2
37,2010-11-01,2
38,2010-11-02,2
39,2010-11-03,2
40,2010-11-04,2
41,2010-11-05,2
42,2010-11-06,2
43,2010-11-07,2
44,2010-11-08,2
45,2010-11-09,2
46,2010-11-10,2
47,2010-11-11,2
48,2010-11-12,2
49,2010-11-13,2
50,2010-11-14,2
51,2010-11-15,2
52,2010-11-16,2
53,2010-11-17,2
54,2010-11-18,2
55,2010-11-19,2
56,2010-11-20,2
57,2010-11-21,2
58,2010-11-22,2
59,2010-11-23,2
60,2010-11-24,2
61,2010-11-25,2
62,2010-11-26,2
63,2010-11-27,2
64,2010-11-28,2
65,2010-11-29,2
66,2010-11-30,2
67,2010-12-01,2
68,2010-12-02,2
69,2010-12-03,2
70,2010-12-04,2
71,2010-12-05,2
72,2010-12-06,2
73,2010-12-07,2
74,2010-12-08,2
75,2010-12-09,2
76,2010-12-10,2
77,2010-12-11,2
78,2010-12-12,2
79,2010-12-13,2
80,2010-12-14,2
81,2010-12-15,2
82,2010-12-16,2
83,2010-12-17,2
84,2010-12-18,2
85,2010-12-19,2
86,2010-12-20,2
87,2010-12-21,2
88,2010-12-22,2
89,2010-12-23,2
90,2010-12-24,2
91,2010-12-25,2
92,2010-12-26,2
93,2010-12-27,2
94,2010-12-28,2
95,2010-12-29,2
96,2010-12-30,2
97,2010-12-31,2
98,2011-01-01,2
99,2011-01-02,2
100,2011-01-03,2
101,2011-01-04,2
102,2011-01-05,2
103,2011-01-06,2
104,2011-01-07,2
105,2011-01-08,2
106,2011-01-09,2
107,2011-01-10,2
108,2011-01-11,2
109,2011-01-12,2
110,2011-01-13,2
111,2011-01-14,2
112,2011-01-15,2
113,2011-01-16,2
114,2011-01-17,2
115,2011-01-18,2
116,2011-01-19,2
117,2011-01-20,2
118,2011-01-21,2
119,2011-01-22,2
120,2011-01-23,2
121,2011-01-24,2
122,2011-01-25,2
123,2011-01-26,2
124,2011-01-27,2
125,2011-01-28,2
126,2011-01-29,2
127,2011-01-30,2
128,2011-01-31,2
129,2011-02-01,2
130,2011-02-02,2
131,2011-02-03,2
132,2011-02-04,2
133,2011-02-05,2
134,2011-02-06,2
135,2011-02-07,2
136,2011-02-08,2
137,2011-02-09,2
