Date,Value
2022-10-28,84932303
2022-10-27,84926285
2022-10-26,84918681
2022-10-25,84909074
2022-10-24,84902680
2022-10-23,84893809
2022-10-22,84888147
2022-10-21,84879615
2022-10-20,84873410
2022-10-19,84865792
2022-10-18,84855520
2022-10-17,84848488
2022-10-16,84835804
2022-10-15,84830177
2022-10-14,84821900
2022-10-13,84815738
2022-10-12,84794965
2022-10-11,84784364
2022-10-10,84778405
2022-10-09,84771248
2022-10-08,84763812
2022-10-07,84758276
2022-10-06,84751135
2022-10-05,84742628
2022-10-04,84736580
2022-10-03,84729113
2022-10-02,84720680
2022-10-01,84715151
2022-09-30,84706860
2022-09-29,84700886
2022-09-28,84691746
2022-09-27,84684177
2022-09-26,84677545
2022-09-25,84669011
2022-09-24,84663711
2022-09-23,84655736
2022-09-22,84649845
2022-09-21,84641105
2022-09-20,84633460
2022-09-19,84626839
2022-09-18,84618152
2022-09-17,84612407
2022-09-16,84603975
2022-09-15,84596341
2022-09-14,84586559
2022-09-13,84579742
2022-09-12,84564036
2022-09-11,84534928
2022-09-10,84518286
2022-09-09,84503365
2022-09-08,84491435
2022-09-07,84479839
2022-09-06,84471638
2022-09-05,84450896
2022-09-04,84409287
2022-09-03,84380369
2022-09-02,84355552
2022-09-01,84312116
2022-08-31,84268216
2022-08-30,84237465
2022-08-29,84202442
2022-08-28,84155309
2022-08-27,84130807
2022-08-26,84096241
2022-08-25,84089124
2022-08-24,84051954
2022-08-23,84037026
2022-08-22,84015081
2022-08-21,84000033
2022-08-20,83983234
2022-08-19,83964773
2022-08-18,83950184
2022-08-17,83926624
2022-08-16,83900870
2022-08-15,83855672
2022-08-14,83811811
2022-08-13,83774361
2022-08-12,83735720
2022-08-11,83724674
2022-08-10,83712378
2022-08-09,83552244
2022-08-08,83552244
2022-08-07,83552244
2022-08-06,83552244
2022-08-05,83552244
2022-08-04,83552244
2022-08-03,83552244
2022-08-02,83552244
2022-08-01,83552244
2022-07-31,83552244
2022-07-30,83552244
2022-07-29,83552244
2022-07-28,83552244
2022-07-27,83552244
2022-07-26,83552244
2022-07-25,83549256
2022-07-24,83540658
2022-07-23,83529927
2022-07-22,83522198
2022-07-21,83509720
2022-07-20,83496712
2022-07-19,83487382
2022-07-18,83474747
2022-07-17,83464462
2022-07-16,83453461
2022-07-15,83446041
2022-07-14,83434039
2022-07-13,83425160
2022-07-12,83413758
2022-07-11,83400099
2022-07-10,83391786
2022-07-09,83381125
2022-07-08,83373731
2022-07-07,83361356
2022-07-06,83352320
2022-07-05,83341383
